_id,hour,tariff,date
6717f219bb32d4634facdd0b,0,9.02,21-10-24
6717f219bb32d4634facdd0c,1,3.29,21-10-24
6717f219bb32d4634facdd0d,2,3.33,21-10-24
6717f219bb32d4634facdd0e,3,3.23,21-10-24
6717f219bb32d4634facdd0f,4,3.30,21-10-24
6717f219bb32d4634facdd10,5,3.31,21-10-24
6717f219bb32d4634facdd11,6,3.39,21-10-24
6717f219bb32d4634facdd12,7,3.27,21-10-24
6717f219bb32d4634facdd13,8,9.19,21-10-24
6717f219bb32d4634facdd14,9,9.07,21-10-24
6717f219bb32d4634facdd15,10,9.43,21-10-24
6717f219bb32d4634facdd16,11,9.04,21-10-24
6717f219bb32d4634facdd17,12,9.25,21-10-24
6717f219bb32d4634facdd18,13,3.22,21-10-24
6717f219bb32d4634facdd19,14,3.41,21-10-24
6717f219bb32d4634facdd1a,15,3.24,21-10-24
6717f219bb32d4634facdd1b,16,3.32,21-10-24
6717f219bb32d4634facdd1c,17,3.32,21-10-24
6717f219bb32d4634facdd1d,18,3.35,21-10-24
6717f219bb32d4634facdd1e,19,3.24,21-10-24
6717f219bb32d4634facdd1f,20,9.27,21-10-24
6717f219bb32d4634facdd20,21,9.63,21-10-24
6717f219bb32d4634facdd21,22,9.63,21-10-24
6717f219bb32d4634facdd22,23,8.95,21-10-24
